,train,test
0,tensor(3.9785),tensor(6.9677)
1,tensor(3.9177),tensor(6.9516)
2,tensor(3.9099),tensor(6.9403)
3,tensor(3.9075),tensor(6.9370)
4,tensor(3.8987),tensor(6.9265)
5,tensor(3.8953),tensor(6.9287)
6,tensor(3.8895),tensor(6.9237)
7,tensor(3.8816),tensor(6.9292)
8,tensor(3.9066),tensor(6.9250)
9,tensor(3.8843),tensor(6.9307)
10,tensor(3.8873),tensor(6.9250)
11,tensor(3.8732),tensor(6.9256)
12,tensor(3.9003),tensor(6.9527)
13,tensor(3.8884),tensor(6.9246)
14,tensor(3.8788),tensor(6.9326)
15,tensor(3.8840),tensor(6.9182)
16,tensor(3.8764),tensor(6.9163)
17,tensor(3.8735),tensor(6.9417)
18,tensor(3.8715),tensor(6.9318)
19,tensor(3.8732),tensor(6.9080)
20,tensor(3.8845),tensor(6.9330)
21,tensor(3.8658),tensor(6.9174)
22,tensor(3.8751),tensor(6.9144)
23,tensor(3.8848),tensor(6.9132)
24,tensor(3.8852),tensor(6.9190)
25,tensor(3.8703),tensor(6.9173)
26,tensor(3.8787),tensor(6.9296)
27,tensor(3.8692),tensor(6.9287)
28,tensor(3.8611),tensor(6.9192)
29,tensor(3.8673),tensor(6.9314)
30,tensor(3.8695),tensor(6.9403)
31,tensor(3.8829),tensor(6.9244)
32,tensor(3.8581),tensor(6.9337)
33,tensor(3.8794),tensor(6.9488)
34,tensor(3.8679),tensor(6.9303)
35,tensor(3.8773),tensor(6.9354)
36,tensor(3.8719),tensor(6.9621)
37,tensor(3.8796),tensor(6.9206)
38,tensor(3.8693),tensor(6.9326)
39,tensor(3.8877),tensor(6.9347)
40,tensor(3.8790),tensor(6.9617)
41,tensor(3.8720),tensor(6.9330)
42,tensor(3.8821),tensor(6.9299)
43,tensor(3.8705),tensor(6.9322)
44,tensor(3.8721),tensor(6.9405)
45,tensor(3.8671),tensor(6.9304)
46,tensor(3.8661),tensor(6.9467)
47,tensor(3.8774),tensor(6.9741)
48,tensor(3.8693),tensor(6.9315)
49,tensor(3.8734),tensor(6.9642)
