,train,test
0,tensor(4.1015),tensor(7.1760)
1,tensor(4.0905),tensor(7.1733)
2,tensor(4.0933),tensor(7.1709)
3,tensor(4.0916),tensor(7.1683)
4,tensor(4.0935),tensor(7.1654)
5,tensor(4.0868),tensor(7.1624)
6,tensor(4.0839),tensor(7.1596)
7,tensor(4.0882),tensor(7.1570)
8,tensor(4.0800),tensor(7.1544)
9,tensor(4.0816),tensor(7.1520)
10,tensor(4.0765),tensor(7.1494)
11,tensor(4.0674),tensor(7.1462)
12,tensor(4.0692),tensor(7.1434)
13,tensor(4.0661),tensor(7.1404)
14,tensor(4.0699),tensor(7.1379)
15,tensor(4.0657),tensor(7.1350)
16,tensor(4.0681),tensor(7.1320)
17,tensor(4.0609),tensor(7.1290)
18,tensor(4.0607),tensor(7.1260)
19,tensor(4.0480),tensor(7.1229)
20,tensor(4.0472),tensor(7.1194)
21,tensor(4.0543),tensor(7.1164)
22,tensor(4.0477),tensor(7.1134)
23,tensor(4.0518),tensor(7.1102)
24,tensor(4.0621),tensor(7.1073)
25,tensor(4.0467),tensor(7.1048)
26,tensor(4.0567),tensor(7.1021)
27,tensor(4.0522),tensor(7.0999)
28,tensor(4.0423),tensor(7.0973)
29,tensor(4.0391),tensor(7.0946)
30,tensor(4.0363),tensor(7.0920)
31,tensor(4.0514),tensor(7.0896)
32,tensor(4.0417),tensor(7.0868)
33,tensor(4.0298),tensor(7.0841)
34,tensor(4.0257),tensor(7.0811)
35,tensor(4.0365),tensor(7.0788)
36,tensor(4.0312),tensor(7.0764)
37,tensor(4.0341),tensor(7.0740)
38,tensor(4.0323),tensor(7.0718)
39,tensor(4.0307),tensor(7.0695)
40,tensor(4.0388),tensor(7.0679)
41,tensor(4.0163),tensor(7.0655)
42,tensor(4.0302),tensor(7.0631)
43,tensor(4.0219),tensor(7.0606)
44,tensor(4.0169),tensor(7.0585)
45,tensor(4.0679),tensor(7.0579)
46,tensor(4.0236),tensor(7.0572)
47,tensor(4.0094),tensor(7.0552)
48,tensor(4.0105),tensor(7.0532)
49,tensor(4.0243),tensor(7.0516)
50,tensor(4.0202),tensor(7.0500)
51,tensor(4.0113),tensor(7.0485)
52,tensor(4.0058),tensor(7.0469)
53,tensor(4.0226),tensor(7.0455)
54,tensor(4.0090),tensor(7.0440)
55,tensor(4.0127),tensor(7.0430)
56,tensor(4.0097),tensor(7.0414)
57,tensor(4.0095),tensor(7.0403)
58,tensor(4.0027),tensor(7.0389)
59,tensor(4.0076),tensor(7.0375)
60,tensor(4.0016),tensor(7.0360)
61,tensor(4.0093),tensor(7.0346)
62,tensor(4.0024),tensor(7.0330)
