,train,test
152,tensor(3.9522),tensor(6.9156)
153,tensor(3.9625),tensor(6.9154)
154,tensor(3.9599),tensor(6.9152)
155,tensor(3.9460),tensor(6.9150)
156,tensor(3.9637),tensor(6.9148)
157,tensor(3.9871),tensor(6.9147)
158,tensor(3.9571),tensor(6.9148)
159,tensor(3.9471),tensor(6.9146)
160,tensor(3.9640),tensor(6.9144)
161,tensor(3.9709),tensor(6.9143)
162,tensor(3.9435),tensor(6.9141)
163,tensor(3.9490),tensor(6.9138)
164,tensor(3.9473),tensor(6.9136)
165,tensor(3.9447),tensor(6.9134)
166,tensor(3.9511),tensor(6.9132)
167,tensor(3.9657),tensor(6.9130)
168,tensor(3.9565),tensor(6.9128)
169,tensor(3.9546),tensor(6.9125)
170,tensor(3.9720),tensor(6.9124)
171,tensor(3.9611),tensor(6.9122)
172,tensor(3.9514),tensor(6.9120)
173,tensor(3.9568),tensor(6.9118)
174,tensor(3.9512),tensor(6.9117)
175,tensor(3.9614),tensor(6.9116)
176,tensor(3.9552),tensor(6.9114)
177,tensor(3.9492),tensor(6.9113)
178,tensor(3.9523),tensor(6.9111)
179,tensor(3.9592),tensor(6.9112)
180,tensor(3.9565),tensor(6.9111)
181,tensor(3.9535),tensor(6.9110)
182,tensor(3.9497),tensor(6.9108)
183,tensor(3.9511),tensor(6.9107)
184,tensor(3.9548),tensor(6.9106)
185,tensor(3.9334),tensor(6.9104)
186,tensor(3.9499),tensor(6.9103)
187,tensor(3.9439),tensor(6.9102)
188,tensor(3.9534),tensor(6.9102)
189,tensor(3.9402),tensor(6.9101)
190,tensor(3.9593),tensor(6.9099)
191,tensor(3.9483),tensor(6.9098)
192,tensor(3.9570),tensor(6.9097)
193,tensor(3.9618),tensor(6.9096)
194,tensor(3.9565),tensor(6.9095)
195,tensor(3.9472),tensor(6.9093)
196,tensor(3.9502),tensor(6.9093)
197,tensor(3.9434),tensor(6.9091)
198,tensor(3.9597),tensor(6.9090)
199,tensor(3.9436),tensor(6.9088)
200,tensor(3.9345),tensor(6.9086)
201,tensor(3.9516),tensor(6.9085)
202,tensor(3.9344),tensor(6.9084)
203,tensor(3.9592),tensor(6.9083)
204,tensor(3.9429),tensor(6.9082)
205,tensor(3.9489),tensor(6.9082)
206,tensor(3.9457),tensor(6.9081)
207,tensor(3.9655),tensor(6.9081)
208,tensor(3.9471),tensor(6.9080)
209,tensor(3.9439),tensor(6.9079)
210,tensor(3.9460),tensor(6.9077)
211,tensor(3.9559),tensor(6.9076)
212,tensor(3.9348),tensor(6.9076)
213,tensor(3.9452),tensor(6.9075)
214,tensor(3.9528),tensor(6.9075)
215,tensor(3.9345),tensor(6.9075)
216,tensor(3.9265),tensor(6.9074)
217,tensor(3.9572),tensor(6.9073)
218,tensor(3.9337),tensor(6.9073)
219,tensor(3.9480),tensor(6.9073)
220,tensor(3.9315),tensor(6.9071)
221,tensor(3.9472),tensor(6.9069)
222,tensor(3.9401),tensor(6.9068)
223,tensor(3.9499),tensor(6.9068)
224,tensor(3.9461),tensor(6.9068)
225,tensor(3.9530),tensor(6.9067)
226,tensor(3.9572),tensor(6.9068)
227,tensor(3.9508),tensor(6.9067)
228,tensor(3.9504),tensor(6.9066)
229,tensor(3.9529),tensor(6.9065)
230,tensor(3.9346),tensor(6.9064)
231,tensor(3.9444),tensor(6.9062)
232,tensor(3.9547),tensor(6.9062)
233,tensor(3.9404),tensor(6.9060)
234,tensor(3.9388),tensor(6.9059)
235,tensor(3.9403),tensor(6.9057)
236,tensor(3.9389),tensor(6.9055)
237,tensor(3.9439),tensor(6.9054)
238,tensor(3.9351),tensor(6.9053)
239,tensor(3.9450),tensor(6.9052)
240,tensor(3.9492),tensor(6.9052)
241,tensor(3.9420),tensor(6.9051)
242,tensor(3.9404),tensor(6.9050)
243,tensor(3.9367),tensor(6.9049)
244,tensor(3.9458),tensor(6.9048)
245,tensor(3.9615),tensor(6.9047)
246,tensor(3.9589),tensor(6.9046)
247,tensor(3.9459),tensor(6.9046)
248,tensor(3.9531),tensor(6.9045)
249,tensor(3.9445),tensor(6.9044)
250,tensor(3.9440),tensor(6.9043)
251,tensor(3.9342),tensor(6.9041)
252,tensor(3.9366),tensor(6.9040)
253,tensor(3.9353),tensor(6.9039)
254,tensor(3.9507),tensor(6.9039)
255,tensor(3.9401),tensor(6.9038)
256,tensor(3.9439),tensor(6.9038)
257,tensor(3.9446),tensor(6.9037)
258,tensor(3.9501),tensor(6.9037)
259,tensor(3.9263),tensor(6.9036)
260,tensor(3.9424),tensor(6.9034)
261,tensor(3.9535),tensor(6.9034)
262,tensor(3.9578),tensor(6.9033)
263,tensor(3.9479),tensor(6.9032)
264,tensor(3.9380),tensor(6.9031)
265,tensor(3.9328),tensor(6.9030)
266,tensor(3.9406),tensor(6.9030)
267,tensor(3.9434),tensor(6.9029)
268,tensor(3.9284),tensor(6.9028)
269,tensor(3.9547),tensor(6.9027)
270,tensor(3.9373),tensor(6.9027)
271,tensor(3.9394),tensor(6.9026)
272,tensor(3.9418),tensor(6.9025)
273,tensor(3.9348),tensor(6.9024)
274,tensor(3.9557),tensor(6.9024)
275,tensor(3.9475),tensor(6.9023)
276,tensor(3.9305),tensor(6.9023)
277,tensor(3.9491),tensor(6.9023)
278,tensor(3.9397),tensor(6.9023)
279,tensor(3.9413),tensor(6.9022)
280,tensor(3.9549),tensor(6.9022)
281,tensor(3.9541),tensor(6.9022)
282,tensor(3.9392),tensor(6.9023)
283,tensor(3.9564),tensor(6.9023)
284,tensor(3.9668),tensor(6.9024)
285,tensor(3.9333),tensor(6.9024)
286,tensor(3.9316),tensor(6.9022)
287,tensor(3.9406),tensor(6.9022)
288,tensor(3.9501),tensor(6.9022)
289,tensor(3.9388),tensor(6.9022)
290,tensor(3.9365),tensor(6.9021)
291,tensor(3.9362),tensor(6.9021)
292,tensor(3.9280),tensor(6.9020)
293,tensor(3.9453),tensor(6.9019)
294,tensor(3.9409),tensor(6.9018)
295,tensor(3.9354),tensor(6.9018)
296,tensor(3.9327),tensor(6.9017)
297,tensor(3.9414),tensor(6.9017)
298,tensor(3.9326),tensor(6.9015)
299,tensor(3.9395),tensor(6.9014)
300,tensor(3.9220),tensor(6.9013)
301,tensor(3.9298),tensor(6.9012)
302,tensor(3.9241),tensor(6.9011)
303,tensor(3.9495),tensor(6.9011)
304,tensor(3.9417),tensor(6.9010)
305,tensor(3.9403),tensor(6.9010)
306,tensor(3.9477),tensor(6.9009)
307,tensor(3.9209),tensor(6.9009)
308,tensor(3.9261),tensor(6.9008)
309,tensor(3.9367),tensor(6.9007)
310,tensor(3.9468),tensor(6.9007)
311,tensor(3.9482),tensor(6.9008)
312,tensor(3.9331),tensor(6.9008)
313,tensor(3.9321),tensor(6.9008)
314,tensor(3.9482),tensor(6.9007)
315,tensor(3.9289),tensor(6.9007)
316,tensor(3.9158),tensor(6.9006)
317,tensor(3.9273),tensor(6.9006)
318,tensor(3.9131),tensor(6.9004)
319,tensor(3.9393),tensor(6.9004)
320,tensor(3.9405),tensor(6.9004)
321,tensor(3.9354),tensor(6.9004)
322,tensor(3.9407),tensor(6.9004)
323,tensor(3.9536),tensor(6.9004)
324,tensor(3.9351),tensor(6.9004)
325,tensor(3.9454),tensor(6.9004)
326,tensor(3.9354),tensor(6.9003)
327,tensor(3.9157),tensor(6.9002)
328,tensor(3.9437),tensor(6.9001)
329,tensor(3.9313),tensor(6.9000)
330,tensor(3.9312),tensor(6.9000)
331,tensor(3.9339),tensor(6.8999)
332,tensor(3.9343),tensor(6.8998)
333,tensor(3.9310),tensor(6.8998)
334,tensor(3.9433),tensor(6.8997)
335,tensor(3.9269),tensor(6.8998)
336,tensor(3.9210),tensor(6.8998)
337,tensor(3.9304),tensor(6.8996)
338,tensor(3.9305),tensor(6.8996)
339,tensor(3.9213),tensor(6.8995)
340,tensor(3.9372),tensor(6.8995)
341,tensor(3.9238),tensor(6.8994)
342,tensor(3.9282),tensor(6.8994)
343,tensor(3.9247),tensor(6.8994)
344,tensor(3.9410),tensor(6.8994)
345,tensor(3.9154),tensor(6.8994)
346,tensor(3.9268),tensor(6.8994)
347,tensor(3.9233),tensor(6.8993)
348,tensor(3.9399),tensor(6.8993)
349,tensor(3.9252),tensor(6.8992)
350,tensor(3.9561),tensor(6.8992)
351,tensor(3.9280),tensor(6.8992)
